conversation_id,message_sent_at,sender_type,sender_id,content,created_at,cached_label_list
75189,"April 21, 2025, 10:37 AM",user,48181,Hello sir,"April 21, 2025, 10:37 AM",[redacted]
75189,"April 21, 2025, 10:37 AM",agent,7,"Hello! I’m Aswini from the Care Team at Clinikk 🌟 Feel free to send messages in any language you prefer, such as ಕನ್ನಡ, English, हिंदी, తెలుగు, தமிழ், or اردو. If you’re not comfortable chatting, you can also send a voice message 🎤 and we will be happy to assist you.

","April 21, 2025, 10:37 AM",[redacted]
75189,"April 21, 2025, 10:37 AM",agent,7,"Hello, please let me know how I can assist you today!","April 21, 2025, 10:37 AM",[redacted]
75189,"April 21, 2025, 10:38 AM",user,48181,Mujhe sir policy leni hai,"April 21, 2025, 10:37 AM",[redacted]
75188,"April 21, 2025, 10:28 AM",user,28553,Hi I need help.,"April 21, 2025, 10:28 AM",[redacted]
75188,"April 21, 2025, 10:28 AM",agent,7,"Hello! I’m Aswini from the Care Team at Clinikk 🌟 Feel free to send messages in any language you prefer, such as ಕನ್ನಡ, English, हिंदी, తెలుగు, தமிழ், or اردو. If you’re not comfortable chatting, you can also send a voice message 🎤 and we will be happy to assist you.

","April 21, 2025, 10:28 AM",[redacted]
75188,"April 21, 2025, 10:28 AM",agent,7,"Hello, please let me know how I can assist you today!","April 21, 2025, 10:28 AM",[redacted]
75188,"April 21, 2025, 10:28 AM",user,28553,Telugu,"April 21, 2025, 10:28 AM",[redacted]
75188,"April 21, 2025, 10:29 AM",user,28553,About my membership,"April 21, 2025, 10:28 AM",[redacted]
75188,"April 21, 2025, 10:29 AM",agent,7,Cheppandi emi help kavali meku,"April 21, 2025, 10:28 AM",[redacted]
75188,"April 21, 2025, 10:30 AM",user,28553,[redacted],"April 21, 2025, 10:28 AM",[redacted]
75188,"April 21, 2025, 10:30 AM",user,28553,My number,"April 21, 2025, 10:28 AM",[redacted]
75188,"April 21, 2025, 10:30 AM",user,28553,Membership cancel ayindi,"April 21, 2025, 10:28 AM",[redacted]
75188,"April 21, 2025, 10:32 AM",agent,8,"Kṣamin̄caṇḍi, kānī mī pālasī raddu cēyabaḍindi.","April 21, 2025, 10:28 AM",[redacted]
75187,"April 21, 2025, 10:24 AM",user,40173,Hi,"April 21, 2025, 10:24 AM",[redacted]
75187,"April 21, 2025, 10:26 AM",agent,8,"Hello! I’m Ashwini from the Care Team at Clinikk 🌟 Feel free to send messages in any language you prefer, such as ಕನ್ನಡ, English, हिंदी, తెలుగు, தமிழ், or اردو. If you’re not comfortable chatting, you can also send a voice message 🎤 and we will be happy to assist you.","April 21, 2025, 10:24 AM",[redacted]
75187,"April 21, 2025, 10:26 AM",agent,8,"Hello, please let me know how I can assist you today!","April 21, 2025, 10:24 AM",[redacted]
75186,"April 21, 2025, 10:21 AM",user,48886,Cancel my plan,"April 21, 2025, 10:21 AM",[redacted]
75186,"April 21, 2025, 10:21 AM",agent,7,"Hello! I’m Aswini from the Care Team at Clinikk 🌟 Feel free to send messages in any language you prefer, such as ಕನ್ನಡ, English, हिंदी, తెలుగు, தமிழ், or اردو. If you’re not comfortable chatting, you can also send a voice message 🎤 and we will be happy to assist you.

","April 21, 2025, 10:21 AM",[redacted]
75186,"April 21, 2025, 10:21 AM",agent,7,Could you kindly explain why you wish to cancel this service?,"April 21, 2025, 10:21 AM",[redacted]
75185,"April 21, 2025, 10:13 AM",user,48885,Hi I need help with activating my membership,"April 21, 2025, 10:13 AM","[redacted]opd, activation-query"
75185,"April 21, 2025, 10:13 AM",agent,7,"Hello! I’m Aswini from the Care Team at Clinikk 🌟 Feel free to send messages in any language you prefer, such as ಕನ್ನಡ, English, हिंदी, తెలుగు, தமிழ், or اردو. If you’re not comfortable chatting, you can also send a voice message 🎤 and we will be happy to assist you.

","April 21, 2025, 10:13 AM","[redacted]opd, activation-query"
75185,"April 21, 2025, 10:14 AM",user,48885,Telugu,"April 21, 2025, 10:13 AM","[redacted]opd, activation-query"
75185,"April 21, 2025, 10:14 AM",agent,7,Are you facing any problem with plan activation? Can I help you?,"April 21, 2025, 10:13 AM","[redacted]opd, activation-query"
75185,"April 21, 2025, 10:14 AM",user,48885,Yes,"April 21, 2025, 10:13 AM","[redacted]opd, activation-query"
75185,"April 21, 2025, 10:14 AM",user,48885,After downloading the app not opening,"April 21, 2025, 10:13 AM","[redacted]opd, activation-query"
75185,"April 21, 2025, 10:15 AM",agent,7,"I can confirm that your policy is already active, sir.","April 21, 2025, 10:13 AM","[redacted]opd, activation-query"
75185,"April 21, 2025, 10:15 AM",user,48885,Ok but app not opening,"April 21, 2025, 10:13 AM","[redacted]opd, activation-query"
75185,"April 21, 2025, 10:17 AM",agent,7,"Could you please share the screenshot here, sir?","April 21, 2025, 10:13 AM","[redacted]opd, activation-query"
75185,"April 21, 2025, 10:18 AM",user,48885,Ok,"April 21, 2025, 10:13 AM","[redacted]opd, activation-query"
75185,"April 21, 2025, 10:18 AM",user,48885,,"April 21, 2025, 10:13 AM","[redacted]opd, activation-query"
75185,"April 21, 2025, 10:20 AM",agent,7,I am working on your request. I will send you a message shortly.,"April 21, 2025, 10:13 AM","[redacted]opd, activation-query"
75185,"April 21, 2025, 10:20 AM",user,48885,Ok,"April 21, 2025, 10:13 AM","[redacted]opd, activation-query"
75185,"April 21, 2025, 10:20 AM",user,48885,Thankyou,"April 21, 2025, 10:13 AM","[redacted]opd, activation-query"
75185,"April 21, 2025, 10:22 AM",agent,8,Is there anything else that I can help you with?,"April 21, 2025, 10:13 AM","[redacted]opd, activation-query"
75185,"April 21, 2025, 10:23 AM",user,48885,No,"April 21, 2025, 10:13 AM","[redacted]opd, activation-query"
75184,"April 21, 2025, 10:09 AM",user,48319,Hi I need help.,"April 21, 2025, 10:09 AM",non-[redacted]
75184,"April 21, 2025, 10:09 AM",user,48319,Hi I need help.,"April 21, 2025, 10:09 AM",non-[redacted]
75184,"April 21, 2025, 10:10 AM",agent,7,"Hello! I’m Aswini from the Care Team at Clinikk 🌟 Feel free to send messages in any language you prefer, such as ಕನ್ನಡ, English, हिंदी, తెలుగు, தமிழ், or اردو. If you’re not comfortable chatting, you can also send a voice message 🎤 and we will be happy to assist you.

","April 21, 2025, 10:09 AM",non-[redacted]
75184,"April 21, 2025, 10:10 AM",agent,7,"Hello! I’m Aswini from the Care Team at Clinikk 🌟 Feel free to send messages in any language you prefer, such as ಕನ್ನಡ, English, हिंदी, తెలుగు, தமிழ், or اردو. If you’re not comfortable chatting, you can also send a voice message 🎤 and we will be happy to assist you.

","April 21, 2025, 10:09 AM",non-[redacted]
75184,"April 21, 2025, 10:10 AM",agent,7,"Hello, please let me know how I can assist you today!","April 21, 2025, 10:09 AM",non-[redacted]
75184,"April 21, 2025, 10:10 AM",agent,7,"Hello, please let me know how I can assist you today!","April 21, 2025, 10:09 AM",non-[redacted]
75184,"April 21, 2025, 10:11 AM",user,48319,English,"April 21, 2025, 10:09 AM",non-[redacted]
75184,"April 21, 2025, 10:11 AM",user,48319,English,"April 21, 2025, 10:09 AM",non-[redacted]
75184,"April 21, 2025, 10:12 AM",agent,7,"Hello, please let me know how I can assist you today!

","April 21, 2025, 10:09 AM",non-[redacted]
75184,"April 21, 2025, 10:12 AM",agent,7,"Hello, please let me know how I can assist you today!

","April 21, 2025, 10:09 AM",non-[redacted]
75184,"April 21, 2025, 10:14 AM",user,48319,English,"April 21, 2025, 10:09 AM",non-[redacted]
75184,"April 21, 2025, 10:14 AM",user,48319,English,"April 21, 2025, 10:09 AM",non-[redacted]
75183,"April 21, 2025, 10:08 AM",user,45474,,"April 21, 2025, 10:08 AM","[redacted], cancel"
75183,"April 21, 2025, 10:09 AM",user,45474,,"April 21, 2025, 10:08 AM","[redacted], cancel"
75183,"April 21, 2025, 10:10 AM",agent,7,"Hello! I’m Aswini from the Care Team at Clinikk 🌟 Feel free to send messages in any language you prefer, such as ಕನ್ನಡ, English, हिंदी, తెలుగు, தமிழ், or اردو. If you’re not comfortable chatting, you can also send a voice message 🎤 and we will be happy to assist you.

","April 21, 2025, 10:08 AM","[redacted], cancel"
75183,"April 21, 2025, 10:11 AM",user,45474,Please remove my insurance policy,"April 21, 2025, 10:08 AM","[redacted], cancel"
75183,"April 21, 2025, 10:11 AM",agent,7,Could you kindly explain why you wish to cancel this service?,"April 21, 2025, 10:08 AM","[redacted], cancel"
75182,"April 21, 2025, 10:01 AM",user,48884,Hi,"April 21, 2025, 10:01 AM","[redacted], cancel"
75182,"April 21, 2025, 10:05 AM",agent,7,"Hello! I’m Aswini from the Care Team at Clinikk 🌟 Feel free to send messages in any language you prefer, such as ಕನ್ನಡ, English, हिंदी, తెలుగు, தமிழ், or اردو. If you’re not comfortable chatting, you can also send a voice message 🎤 and we will be happy to assist you.

","April 21, 2025, 10:01 AM","[redacted], cancel"
75182,"April 21, 2025, 10:05 AM",agent,7,"Hello, please let me know how I can assist you today!","April 21, 2025, 10:01 AM","[redacted], cancel"
75182,"April 21, 2025, 10:05 AM",user,48884,Stop auto debit,"April 21, 2025, 10:01 AM","[redacted], cancel"
75182,"April 21, 2025, 10:06 AM",agent,7,Could you kindly explain why you wish to cancel this Autopay? Will you pay manually for this policy?,"April 21, 2025, 10:01 AM","[redacted], cancel"
75182,"April 21, 2025, 10:06 AM",user,48884,No I am riding now,"April 21, 2025, 10:01 AM","[redacted], cancel"
75182,"April 21, 2025, 10:07 AM",user,48884,I want to cancel the policy,"April 21, 2025, 10:01 AM","[redacted], cancel"
75182,"April 21, 2025, 10:10 AM",agent,7,Could you kindly explain why you wish to cancel this service?,"April 21, 2025, 10:01 AM","[redacted], cancel"
75182,"April 21, 2025, 10:11 AM",user,48884,"I am not riding [redacted] right now, so I want to cancel the policy","April 21, 2025, 10:01 AM","[redacted], cancel"
75182,"April 21, 2025, 10:13 AM",agent,7,"You bought this plan through [redacted] for just 180 rupees per month on 28th Dec 2024
, this is the best possible policy at this price and you wont get such attractive rates anywhere else. You can click Here to Download your policy [redacted]. This policy offers you various benefits. If you get hospitalized due to a new health issue for 24 hours or more, you can make a claim on this policy up to INR 100000. Additionally, you have access to unlimited 24/7 teleconsultation benefits with top rated Doctors for FREE. If you decide to cancel this policy, you could lose all these benefits.","April 21, 2025, 10:01 AM","[redacted], cancel"
75182,"April 21, 2025, 10:16 AM",user,48884,Okay please cancel the policy,"April 21, 2025, 10:01 AM","[redacted], cancel"
75182,"April 21, 2025, 10:17 AM",agent,7,"Are you sure you want to cancel your policy? If you do, please remember that you will lose your benefits. Is that okay with you?","April 21, 2025, 10:01 AM","[redacted], cancel"
75182,"April 21, 2025, 10:34 AM",user,48884,Sure,"April 21, 2025, 10:01 AM","[redacted], cancel"
75182,"April 21, 2025, 10:35 AM",agent,8,"We have updated your request for cancellation. No need to worry, your policy will be canceled within the next half an hour, next time your amount won't deduct.  ","April 21, 2025, 10:01 AM","[redacted], cancel"
75182,"April 21, 2025, 10:37 AM",agent,8,Is there anything else that I can help you with?,"April 21, 2025, 10:01 AM","[redacted], cancel"
75181,"April 21, 2025, 9:59 AM",user,48883,Help with payment,"April 21, 2025, 9:59 AM","[redacted], payment-done"
75181,"April 21, 2025, 10:00 AM",agent,7,"Hello! I’m Aswini from the Care Team at Clinikk 🌟 Feel free to send messages in any language you prefer, such as ಕನ್ನಡ, English, हिंदी, తెలుగు, தமிழ், or اردو. If you’re not comfortable chatting, you can also send a voice message 🎤 and we will be happy to assist you.


","April 21, 2025, 9:59 AM","[redacted], payment-done"
75181,"April 21, 2025, 10:00 AM",agent,7,I can see that we have already received the payment from you. Is there anything specific you need help with?,"April 21, 2025, 9:59 AM","[redacted], payment-done"
75181,"April 21, 2025, 10:01 AM",user,48883,I won't clem my insurance,"April 21, 2025, 9:59 AM","[redacted], payment-done"
75181,"April 21, 2025, 10:05 AM",agent,7,Could you please clarify what health issue you are referring to?,"April 21, 2025, 9:59 AM","[redacted], payment-done"
75181,"April 21, 2025, 10:06 AM",user,48883,Surat,"April 21, 2025, 9:59 AM","[redacted], payment-done"
75181,"April 21, 2025, 10:18 AM",agent,7,"If you could explain your concern in more detail, I would be able to help you more effectively.","April 21, 2025, 9:59 AM","[redacted], payment-done"
75180,"April 21, 2025, 9:46 AM",user,48882,hi i need help completing a payment,"April 21, 2025, 9:46 AM","[redacted], new-[redacted]-payment"
75180,"April 21, 2025, 9:47 AM",agent,7,"Hello! I’m Aswini from the Care Team at Clinikk 🌟 Feel free to send messages in any language you prefer, such as ಕನ್ನಡ, English, हिंदी, తెలుగు, தமிழ், or اردو. If you’re not comfortable chatting, you can also send a voice message 🎤 and we will be happy to assist you.

","April 21, 2025, 9:46 AM","[redacted], new-[redacted]-payment"
75180,"April 21, 2025, 9:47 AM",agent,7,"[redacted] health plans start at INR 180 per month, offering coverage options of 1L and 2L, with the option to include family members. These plans are exclusively for [redacted] captains and their families. You can find more details on the [redacted] Partner App or by contacting [redacted] Partner Support.  
Your payment link to complete the payment is: https://clinikk.com/subscription/purchase?subscription=6805c623f2f4e6a01104facd","April 21, 2025, 9:46 AM","[redacted], new-[redacted]-payment"
75180,"April 21, 2025, 9:48 AM",agent,7,Is there anything else that I can help you with?,"April 21, 2025, 9:46 AM","[redacted], new-[redacted]-payment"
75179,"April 21, 2025, 9:39 AM",user,48881,No I want cancel this one pls help me,"April 21, 2025, 9:39 AM","[redacted], cancel"
75179,"April 21, 2025, 9:41 AM",agent,7,"Hello! I’m Aswini from the Care Team at Clinikk 🌟 Feel free to send messages in any language you prefer, such as ಕನ್ನಡ, English, हिंदी, తెలుగు, தமிழ், or اردو. If you’re not comfortable chatting, you can also send a voice message 🎤 and we will be happy to assist you.

","April 21, 2025, 9:39 AM","[redacted], cancel"
75179,"April 21, 2025, 9:41 AM",agent,7,Could you kindly explain why you wish to cancel this service?,"April 21, 2025, 9:39 AM","[redacted], cancel"
75178,"April 21, 2025, 9:35 AM",user,48880,"Hey friend!! Thank you for agreeing to pay rapid for me.
Click on this link to pay through credit card/debit card/net banking.
Amount Rs: 20. This link is valid till 15 minutes!![redacted]","April 21, 2025, 9:35 AM",[redacted]
75177,"April 21, 2025, 9:26 AM",user,17472,Renoal  my policy please link share,"April 21, 2025, 9:26 AM","non-[redacted], renewal-link"
75177,"April 21, 2025, 9:26 AM",user,17472,Renoal  my policy please link share,"April 21, 2025, 9:26 AM","non-[redacted], renewal-link"
75177,"April 21, 2025, 9:27 AM",agent,7,"Hello! I’m Aswini from the Care Team at Clinikk 🌟 Feel free to send messages in any language you prefer, such as ಕನ್ನಡ, English, हिंदी, తెలుగు, தமிழ், or اردو. If you’re not comfortable chatting, you can also send a voice message 🎤 and we will be happy to assist you.

","April 21, 2025, 9:26 AM","non-[redacted], renewal-link"
75177,"April 21, 2025, 9:27 AM",agent,7,"Hello! I’m Aswini from the Care Team at Clinikk 🌟 Feel free to send messages in any language you prefer, such as ಕನ್ನಡ, English, हिंदी, తెలుగు, தமிழ், or اردو. If you’re not comfortable chatting, you can also send a voice message 🎤 and we will be happy to assist you.

","April 21, 2025, 9:26 AM","non-[redacted], renewal-link"
75177,"April 21, 2025, 9:27 AM",user,17472,Hindi,"April 21, 2025, 9:26 AM","non-[redacted], renewal-link"
75177,"April 21, 2025, 9:27 AM",user,17472,Hindi,"April 21, 2025, 9:26 AM","non-[redacted], renewal-link"
75177,"April 21, 2025, 9:28 AM",agent,7,[redacted] A link open karke aap payment pay kijiye sir,"April 21, 2025, 9:26 AM","non-[redacted], renewal-link"
75177,"April 21, 2025, 9:28 AM",agent,7,[redacted] A link open karke aap payment pay kijiye sir,"April 21, 2025, 9:26 AM","non-[redacted], renewal-link"
75176,"April 21, 2025, 9:03 AM",user,44983,Hi,"April 21, 2025, 9:03 AM","[redacted], autopay-cancellation"
75176,"April 21, 2025, 9:04 AM",agent,7,"Hello! I’m Aswini from the Care Team at Clinikk 🌟 Feel free to send messages in any language you prefer, such as ಕನ್ನಡ, English, हिंदी, తెలుగు, தமிழ், or اردو. If you’re not comfortable chatting, you can also send a voice message 🎤 and we will be happy to assist you.

","April 21, 2025, 9:03 AM","[redacted], autopay-cancellation"
75176,"April 21, 2025, 9:04 AM",user,44983,Stop auto payment,"April 21, 2025, 9:03 AM","[redacted], autopay-cancellation"
75176,"April 21, 2025, 9:04 AM",user,44983,,"April 21, 2025, 9:03 AM","[redacted], autopay-cancellation"
75176,"April 21, 2025, 9:05 AM",agent,7,Could you kindly explain why you wish to cancel this Autopay? Will you pay manually for this policy?,"April 21, 2025, 9:03 AM","[redacted], autopay-cancellation"
75176,"April 21, 2025, 9:05 AM",user,44983,Cancel auto payment,"April 21, 2025, 9:03 AM","[redacted], autopay-cancellation"
75176,"April 21, 2025, 9:05 AM",user,44983,Stop auto payment,"April 21, 2025, 9:03 AM","[redacted], autopay-cancellation"
75176,"April 21, 2025, 9:05 AM",agent,7,"Could you kindly explain why you wish to cancel this Autopay? Will you pay manually for this policy?

","April 21, 2025, 9:03 AM","[redacted], autopay-cancellation"
75175,"April 21, 2025, 9:03 AM",user,7715,Hi,"April 21, 2025, 9:03 AM",non-[redacted]
75175,"April 21, 2025, 9:03 AM",user,7715,Hi,"April 21, 2025, 9:03 AM",non-[redacted]
75175,"April 21, 2025, 9:03 AM",user,7715,Near health care  centre me,"April 21, 2025, 9:03 AM",non-[redacted]
75175,"April 21, 2025, 9:03 AM",user,7715,Near health care  centre me,"April 21, 2025, 9:03 AM",non-[redacted]
75175,"April 21, 2025, 9:04 AM",agent,7,"Hello! I’m Aswini from the Care Team at Clinikk 🌟 Feel free to send messages in any language you prefer, such as ಕನ್ನಡ, English, हिंदी, తెలుగు, தமிழ், or اردو. If you’re not comfortable chatting, you can also send a voice message 🎤 and we will be happy to assist you.

","April 21, 2025, 9:03 AM",non-[redacted]
75175,"April 21, 2025, 9:04 AM",agent,7,"Hello! I’m Aswini from the Care Team at Clinikk 🌟 Feel free to send messages in any language you prefer, such as ಕನ್ನಡ, English, हिंदी, తెలుగు, தமிழ், or اردو. If you’re not comfortable chatting, you can also send a voice message 🎤 and we will be happy to assist you.

","April 21, 2025, 9:03 AM",non-[redacted]
75175,"April 21, 2025, 9:04 AM",user,7715,Kannada,"April 21, 2025, 9:03 AM",non-[redacted]
75175,"April 21, 2025, 9:04 AM",user,7715,Kannada,"April 21, 2025, 9:03 AM",non-[redacted]
75175,"April 21, 2025, 9:04 AM",agent,7,Could you please tell me where you are based?,"April 21, 2025, 9:03 AM",non-[redacted]
75175,"April 21, 2025, 9:04 AM",agent,7,Could you please tell me where you are based?,"April 21, 2025, 9:03 AM",non-[redacted]
75175,"April 21, 2025, 9:05 AM",user,7715,Devanahalli,"April 21, 2025, 9:03 AM",non-[redacted]
75175,"April 21, 2025, 9:05 AM",user,7715,Devanahalli,"April 21, 2025, 9:03 AM",non-[redacted]
75175,"April 21, 2025, 9:05 AM",agent,7,We have 10 Clinikk Health Hubs in Bangalore. Generally the Clinikk hours are 9:30 am - 1 pm and 4 pm - 8:30 pm. You can find your closest Clinikk by searching here: https://clinikk.com/visit/visit-us?utm_source=carechat&utm_campaign=chh&utm_medium=wa,"April 21, 2025, 9:03 AM",non-[redacted]
75175,"April 21, 2025, 9:05 AM",agent,7,We have 10 Clinikk Health Hubs in Bangalore. Generally the Clinikk hours are 9:30 am - 1 pm and 4 pm - 8:30 pm. You can find your closest Clinikk by searching here: https://clinikk.com/visit/visit-us?utm_source=carechat&utm_campaign=chh&utm_medium=wa,"April 21, 2025, 9:03 AM",non-[redacted]
75174,"April 21, 2025, 9:02 AM",user,48879,Hi sir please call me,"April 21, 2025, 9:02 AM","[redacted], claim"
75174,"April 21, 2025, 9:04 AM",agent,7,"Hello! I’m Aswini from the Care Team at Clinikk 🌟 Feel free to send messages in any language you prefer, such as ಕನ್ನಡ, English, हिंदी, తెలుగు, தமிழ், or اردو. If you’re not comfortable chatting, you can also send a voice message 🎤 and we will be happy to assist you.

","April 21, 2025, 9:02 AM","[redacted], claim"
75174,"April 21, 2025, 9:04 AM",agent,7,"If you explain your issue in the chat, we will be able to assist you better. Just let us know what help you need!","April 21, 2025, 9:02 AM","[redacted], claim"
75174,"April 21, 2025, 9:04 AM",user,48879,Tamil,"April 21, 2025, 9:02 AM","[redacted], claim"
